"Path","SizeMB"
"C:\Users\hp\Desktop\chatty\backend\src\routes\groupCall.route.js","0.000346"
"C:\Users\hp\Desktop\chatty\frontend\src\lib\logger.js","0.000336"
"C:\Users\hp\Desktop\chatty\frontend\src\main.jsx","0.000325"
"C:\Users\hp\Desktop\chatty\package.json","0.00032"
"C:\Users\hp\Desktop\chatty\backend\src\routes\call.route.js","0.000315"
"C:\Users\hp\Desktop\chatty\backend\src\lib\db.js","0.000313"
"C:\Users\hp\Desktop\chatty\backend\src\routes\user.route.js","0.000303"
"C:\Users\hp\Desktop\chatty\backend\.env","0.000302"
"C:\Users\hp\Desktop\chatty\backend\src\lib\cloudinary.js","0.000285"
"C:\Users\hp\Desktop\chatty\.gitignore","0.00027"
"C:\Users\hp\Desktop\chatty\frontend\src\store\useThemeStore.js","0.000239"
"C:\Users\hp\Desktop\chatty\frontend\src\lib\axios.js","0.000188"
"C:\Users\hp\Desktop\chatty\frontend\vite.config.js","0.00016"
"C:\Users\hp\Desktop\chatty\frontend\postcss.config.js","8.2E-05"
"C:\Users\hp\Desktop\chatty\frontend\src\index.css","5.9E-05"
